date,Taker Buy Ratio
2022-12-06,0.49567028
2022-12-07,0.47933731
2022-12-08,0.52246514
2022-12-09,0.5004917
2022-12-10,0.51105018
2022-12-11,0.49672866
2022-12-12,0.50249162
2022-12-13,0.51525243
2022-12-14,0.49529497
2022-12-15,0.47851738
2022-12-16,0.48083095
2022-12-17,0.5056593
2022-12-18,0.49653905
2022-12-19,0.49571943
2022-12-20,0.52109023
2022-12-21,0.49878103
2022-12-22,0.50032981
2022-12-23,0.50470704
2022-12-24,0.50957342
2022-12-25,0.49422825
2022-12-26,0.51360616
2022-12-27,0.49081008
2022-12-28,0.48645373
2022-12-29,0.51166632
2022-12-30,0.50212084
2022-12-31,0.50601446
2023-01-01,0.50732496
2023-01-02,0.51122674
2023-01-03,0.49971757
2023-01-04,0.52831427
2023-01-05,0.5043891
2023-01-06,0.51427591
2023-01-07,0.49796689
2023-01-08,0.52614109
2023-01-09,0.51264025
2023-01-10,0.50841842
2023-01-11,0.51411382
2023-01-12,0.51005146
2023-01-13,0.50567962
2023-01-14,0.51281747
2023-01-15,0.49803622
2023-01-16,0.49877748
2023-01-17,0.49660242
2023-01-18,0.49091134
2023-01-19,0.50576923
2023-01-20,0.5227298
2023-01-21,0.48896877
2023-01-22,0.49440254
2023-01-23,0.49414862
2023-01-24,0.4712667
2023-01-25,0.50003632
2023-01-26,0.48936662
2023-01-27,0.49522081
2023-01-28,0.48024588
2023-01-29,0.51211558
2023-01-30,0.47347097
2023-01-31,0.50312306
2023-02-01,0.50066068
2023-02-02,0.49605411
2023-02-03,0.49685187
2023-02-04,0.50559133
2023-02-05,0.47827689
2023-02-06,0.49179979
2023-02-07,0.51190576
2023-02-08,0.49888194
2023-02-09,0.4766862
2023-02-10,0.48776454
2023-02-11,0.50954173
2023-02-12,0.49096357
2023-02-13,0.49578342
2023-02-14,0.50284762
2023-02-15,0.52508304
2023-02-16,0.49475415
2023-02-17,0.50613075
2023-02-18,0.49576302
2023-02-19,0.49696461
2023-02-20,0.50195157
2023-02-21,0.48343022
2023-02-22,0.48622786
2023-02-23,0.49760831
2023-02-24,0.48004228
2023-02-25,0.4836911
2023-02-26,0.52051796
2023-02-27,0.4912329
2023-02-28,0.48493604
2023-03-01,0.52057254
2023-03-02,0.48954955
2023-03-03,0.47672543
2023-03-04,0.49058074
2023-03-05,0.50078553
2023-03-06,0.50147584
2023-03-07,0.49852362
2023-03-08,0.50175133
2023-03-09,0.47665002
2023-03-10,0.49488349
2023-03-11,0.50451443
2023-03-12,0.51782088
2023-03-13,0.50788944
2023-03-14,0.49787735
2023-03-15,0.49277851
2023-03-16,0.50301712
2023-03-17,0.51369603
2023-03-18,0.49472849
2023-03-19,0.50127501
2023-03-20,0.48811112
2023-03-21,0.50652978
2023-03-22,0.47524072
2023-03-23,0.50890135
2023-03-24,0.48474958
2023-03-25,0.48567907
2023-03-26,0.50929212
2023-03-27,0.48209072
2023-03-28,0.51825483
2023-03-29,0.50533613
2023-03-30,0.48955708
2023-03-31,0.51207726
2023-04-01,0.49539463
2023-04-02,0.47389462
2023-04-03,0.49863191
2023-04-04,0.52014863
2023-04-05,0.50983239
2023-04-06,0.47315084
2023-04-07,0.47931546
2023-04-08,0.47973999
2023-04-09,0.49566892
2023-04-10,0.51274232
2023-04-11,0.4901994
2023-04-12,0.50768516
2023-04-13,0.52378065
2023-04-14,0.51164361
2023-04-15,0.49407394
2023-04-16,0.50182676
2023-04-17,0.48466354
2023-04-18,0.49731182
2023-04-19,0.46455002
2023-04-20,0.4943326
2023-04-21,0.47770269
2023-04-22,0.50237879
2023-04-23,0.49549162
2023-04-24,0.49461502
2023-04-25,0.50080865
2023-04-26,0.50417055
2023-04-27,0.50182424
2023-04-28,0.49425493
2023-04-29,0.5030673
2023-04-30,0.4922168
2023-05-01,0.48901602
2023-05-02,0.50997118
2023-05-03,0.50447193
2023-05-04,0.49191475
2023-05-05,0.52212689
2023-05-06,0.47900022
2023-05-07,0.49374016
2023-05-08,0.4951212
2023-05-09,0.4973753
2023-05-10,0.49859641
2023-05-11,0.48315305
2023-05-12,0.50377401
2023-05-13,0.49898126
2023-05-14,0.50276212
2023-05-15,0.49938625
2023-05-16,0.50095158
