date,Aave,Benqi Finance,Compound,Euler,Fluid,Goldfinch,Jupiter,Kamino,Liquity,Lista,Maker,Moonwell,Morpho,Seamless Protocol,Sonne Finance,Spark,Maple,Tydro,Venus
2022-12-18,5736930729.180321,136403139.60528168,2390377356.0692163,0.0,0.0,93263163.90825084,0.0,0.0,438041281.32376623,0.0,6043754200.611444,0.0,0.0,0.0,58527956.3609587,0.0,27751351.285714287,0.0,1168067366.6321962
2022-12-25,5570975135.654304,127806391.13452733,2344617469.29922,0.0,0.0,93516740.461186,0.0,0.0,420968626.7575976,0.0,5911572890.924138,0.0,0.0,0.0,56498656.70955358,0.0,19915489.285714287,0.0,1109980857.5247438
2023-01-01,5547249183.777457,118029958.91937612,2329354671.401502,0.0,0.0,93530531.07417011,0.0,0.0,414642513.9245308,0.0,5816111237.551246,0.0,0.0,0.0,51250396.26579856,0.0,20348265.0,0.0,1082029227.457844
2023-01-08,5566555566.186493,124707215.4564656,2289077011.977258,0.0,0.0,93307462.08987556,0.0,0.0,425505466.4716006,0.0,5923723575.1063175,0.0,0.0,0.0,42091084.40699999,0.0,17836898.85714286,0.0,1097744648.838591
2023-01-15,6098431997.082248,143160004.41679662,2404338729.752449,0.0,0.0,93367539.59732184,0.0,0.0,475842300.6180895,0.0,6380655032.15373,0.0,0.0,0.0,33634284.8847328,0.0,15670387.0,0.0,1188266843.4120624
2023-01-22,6581094898.705545,156208956.4916681,2522045701.2066145,0.0,0.0,93155819.00631312,0.0,0.0,503753734.7563501,0.0,6722750273.616959,0.0,0.0,0.0,41895233.74274302,0.0,15648544.285714284,0.0,1320320113.38768
2023-01-29,6677235394.66223,164498961.26711866,2674338034.0859523,0.0,0.0,93130315.52856584,0.0,0.0,556669082.9779278,0.0,6819486079.717367,0.0,0.0,0.0,75132879.75716943,0.0,19251656.42857143,0.0,1373453300.3128064
2023-02-05,6786819869.464485,176716342.00881687,2826380078.307651,0.0,0.0,93287916.214225,0.0,0.0,594975341.0786852,0.0,6843633607.192857,0.0,0.0,0.0,70930316.39498086,0.0,21346102.57142857,0.0,1391038197.8814106
2023-02-12,6684100995.482757,175721689.385359,2765365804.702374,0.0,0.0,93744298.76649688,0.0,0.0,584181607.7866273,0.0,6772431162.11412,0.0,0.0,0.0,80561352.8439755,0.0,22565052.85714286,0.0,1381458986.1368487
2023-02-19,6924462512.249768,175205914.37877798,2789559921.5964537,0.0,0.0,93430405.62806344,0.0,0.0,587967452.057526,0.0,6977544137.186707,0.0,0.0,0.0,56795374.4828117,0.0,25036959.42857143,0.0,1372103062.991681
2023-02-26,7084338952.33905,179778022.30310565,2881462540.530387,0.0,0.0,93221079.63896029,0.0,0.0,603403044.9869187,0.0,6876200706.148416,0.0,0.0,0.0,92247056.72153307,0.0,21121888.71428572,0.0,1364508531.367796
2023-03-05,6930018025.111864,179906908.45953956,2837182984.9152565,0.0,0.0,92988063.45983256,0.0,0.0,595142800.4270154,0.0,6816777264.279419,0.0,0.0,0.0,159526253.17005974,0.0,12953874.42857143,0.0,1326568433.2060225
2023-03-12,6734237294.408195,174271600.98279962,2636156686.782424,0.0,0.0,92571867.21902516,0.0,0.0,564169718.3698028,0.0,6822926324.053556,0.0,0.0,0.0,147055211.35260698,0.0,13215194.42857143,0.0,1220025658.41585
2023-03-19,7639334141.953822,165033852.06208354,2399569619.65319,0.0,0.0,91813177.503936,0.0,0.0,673489814.3748709,0.0,7782542980.26377,0.0,0.0,0.0,136718512.49852192,0.0,13795161.57142857,0.0,1420055883.716217
2023-03-26,8059693549.935722,171709665.9745483,2653115077.4025187,0.0,0.0,91657448.93155114,0.0,0.0,709565677.4827659,0.0,7633518114.803788,0.0,0.0,0.0,152963187.61001608,0.0,14180609.42857143,0.0,1483189998.5514052
2023-04-02,7896766473.901018,175148736.35293064,2784050372.085271,0.0,0.0,91597927.32202528,0.0,0.0,717843394.2474657,0.0,7548492527.017151,0.0,0.0,0.0,135903824.03554726,29.07361090372857,14211797.57142857,0.0,1317910643.0671751
2023-04-09,8105248973.410965,189797104.127659,2773566433.484687,0.0,0.0,91872415.11923714,0.0,0.0,745045410.0229338,0.0,7678865154.089799,0.0,0.0,0.0,126790870.89497311,56.9714222095857,14163995.714285716,0.0,1327337876.7625222
2023-04-16,8456508142.762284,178461221.7286888,2800854181.024353,0.0,0.0,91860211.22712886,0.0,0.0,788553366.8810471,0.0,7941300410.083885,0.0,0.0,0.0,123924555.2593682,74.81828244187143,14436264.285714284,0.0,1346456929.644632
2023-04-23,8149143297.720546,178879834.89380717,2761319786.70074,0.0,0.0,91861560.56432828,0.0,0.0,786324773.0273811,0.0,7591219182.649859,0.0,0.0,0.0,127330214.27899536,74.69499858042856,13803259.714285716,0.0,1330683273.9444003
2023-04-30,7745641210.268302,177655516.3080631,2722203865.643084,0.0,0.0,91751215.59686314,0.0,0.0,742387875.0467157,0.0,7356156893.709112,0.0,0.0,0.0,117013671.22850592,73.34958385089999,13998615.57142857,0.0,1581015819.555241
2023-05-07,7844333294.713816,181744809.158031,2741395471.9953523,0.0,0.0,91597141.3547967,0.0,0.0,752985990.3163539,0.0,7299955843.094488,0.0,0.0,0.0,108228737.95014498,73.67458068178571,14315860.857142856,0.0,1492076806.2540638
2023-05-14,7673846905.736337,169388371.70112625,2637805583.896984,0.0,0.0,91474039.2631934,0.0,0.0,738982207.805015,0.0,6977801105.412811,0.0,0.0,0.0,88975357.09303142,5017375.316075106,15995365.857142856,0.0,1255480380.7480855
2023-05-21,7706779081.097872,164753490.1638659,2603598878.684669,0.0,0.0,91074506.52532484,0.0,0.0,726081913.6445147,0.0,6810357227.671556,0.0,0.0,0.0,86531968.51706804,7040978.573722598,16459936.57142857,0.0,1236772401.141953
2023-05-28,7851154403.402391,163112664.41489577,2623226331.5741625,0.0,0.0,90665145.99910358,0.0,0.0,721419809.5621568,0.0,6716219713.357691,0.0,0.0,0.0,81024063.9654008,8814561.04522747,18308567.57142857,0.0,1202578803.4004858
2023-06-04,8153085127.292174,167060138.37374648,2675381595.7075806,0.0,0.0,90564826.79850928,0.0,0.0,745222537.0468147,0.0,6409363991.373609,0.0,0.0,0.0,84676677.81228748,15708094.791491712,24840039.71428572,0.0,1238887840.6047635
2023-06-11,8057867235.030104,161970097.6121433,2616552604.148361,0.0,0.0,90318481.64531426,0.0,0.0,721858954.0013149,0.0,5970162193.766905,0.0,0.0,0.0,86509177.36270091,17244236.98552459,29555985.285714287,0.0,1144412812.314216
2023-06-18,7678991252.264577,143736435.9623925,2551588698.3787885,0.0,0.0,90124508.2421187,0.0,0.0,670045771.3458294,0.0,5584913746.274931,0.0,0.0,0.0,83793245.73977877,16925955.42308252,29130137.0,0.0,1093259873.9806218
