date,Exchange Outflow (Mean)
2019-11-28,9707.7158595
2019-11-29,10322.24917751
2019-11-30,7228.73058068
2019-12-01,4533.77508797
2019-12-02,6448.35653924
2019-12-03,8548.9371431
2019-12-04,10016.86700201
2019-12-05,10000.80071657
2019-12-06,10275.8679811
2019-12-07,8365.96308435
2019-12-08,6337.95586135
2019-12-09,10356.07327352
2019-12-10,9632.5646555
2019-12-11,10751.69099784
2019-12-12,8983.42948802
2019-12-13,7853.20068192
2019-12-14,7880.9161061
2019-12-15,5569.65627659
2019-12-16,10060.13601827
2019-12-17,8657.52160289
2019-12-18,10679.24326413
2019-12-19,10163.06234513
2019-12-20,8335.69662014
2019-12-21,5816.97790038
2019-12-22,6790.42897009
2019-12-23,11517.36885384
2019-12-24,8636.5583062
2019-12-25,7160.93016686
2019-12-26,8004.47189257
2019-12-27,8326.62121342
2019-12-28,5919.04279721
2019-12-29,6714.99531312
2019-12-30,8790.27214597
2019-12-31,6819.01219411
2020-01-01,6140.70879371
2020-01-02,8087.16315499
2020-01-03,10456.01157474
2020-01-04,11293.29266037
2020-01-05,6747.6819812
2020-01-06,10838.39532637
2020-01-07,12286.44376502
2020-01-08,10889.28422975
2020-01-09,10867.96485543
2020-01-10,10979.33573658
2020-01-11,8079.05190952
2020-01-12,7293.92447886
2020-01-13,11623.0719473
2020-01-14,14195.61672246
2020-01-15,12664.53254757
2020-01-16,9954.83922435
2020-01-17,11672.42744842
2020-01-18,6228.72420897
2020-01-19,7812.57739819
2020-01-20,12730.85758083
2020-01-21,13143.77163682
2020-01-22,11733.89778926
2020-01-23,15401.59465541
2020-01-24,10632.32895437
2020-01-25,7831.16653738
2020-01-26,9016.55560755
2020-01-27,12416.09084217
2020-01-28,10788.62739244
2020-01-29,10457.41713526
2020-01-30,9213.73278663
2020-01-31,9340.54359609
2020-02-01,6866.87840845
2020-02-02,7273.3894173
2020-02-03,7971.36634854
2020-02-04,9712.32015453
2020-02-05,10330.37032615
2020-02-06,9366.73176312
2020-02-07,8261.86549898
2020-02-08,6298.65928558
2020-02-09,5113.39904428
2020-02-10,8201.44000077
2020-02-11,7381.71628694
2020-02-12,7794.05285206
2020-02-13,8808.05407454
2020-02-14,5891.34916056
2020-02-15,5725.56662234
2020-02-16,6836.96379647
2020-02-17,10048.99758905
2020-02-18,8889.41824327
2020-02-19,8824.57081714
2020-02-20,7939.31347736
2020-02-21,7322.72507824
2020-02-22,6322.55222936
2020-02-23,5996.59751886
2020-02-24,6081.2093603
2020-02-25,7203.01578274
2020-02-26,9140.87880641
2020-02-27,8688.951047
2020-02-28,6685.87863071
2020-02-29,5437.87881115
2020-03-01,5008.76981133
2020-03-02,9006.67934658
2020-03-03,8751.72898948
2020-03-04,7727.53611208
2020-03-05,8540.15069732
2020-03-06,7682.50023447
2020-03-07,4817.02950709
2020-03-08,8108.16951712
2020-03-09,10619.81704356
2020-03-10,9052.78907326
2020-03-11,7825.00550024
2020-03-12,9267.40523767
2020-03-13,17200.62228315
2020-03-14,8891.29255106
2020-03-15,8685.07702259
2020-03-16,9445.05637877
2020-03-17,6881.07903998
2020-03-18,6361.2243665
2020-03-19,7635.93765934
2020-03-20,7269.70606599
2020-03-21,5381.98671818
2020-03-22,5725.71028855
2020-03-23,7619.59867273
2020-03-24,8132.72541663
2020-03-25,7092.56781236
2020-03-26,5411.8885778
2020-03-27,5699.63853248
2020-03-28,6409.03064895
2020-03-29,3921.3670062
2020-03-30,7357.45389731
2020-03-31,4727.97993523
2020-04-01,7652.13830943
2020-04-02,8505.69813043
2020-04-03,6784.01113018
2020-04-04,4983.02214404
2020-04-05,3741.04249356
2020-04-06,5545.03662673
2020-04-07,5795.10075943
2020-04-08,5384.50432413
2020-04-09,5836.22177997
2020-04-10,6385.40472366
2020-04-11,4297.31048222
2020-04-12,4863.97415039
2020-04-13,5839.69602509
2020-04-14,6414.38743422
2020-04-15,6169.09992993
2020-04-16,7468.32187393
2020-04-17,5629.33411138
2020-04-18,4099.63859197
2020-04-19,3497.00931418
2020-04-20,5809.90184745
2020-04-21,5859.84165025
2020-04-22,5851.52903893
2020-04-23,6665.65985474
2020-04-24,7000.15136251
2020-04-25,4324.54513706
2020-04-26,3873.05524414
2020-04-27,5863.59279631
2020-04-28,6379.17302508
2020-04-29,8459.43080933
2020-04-30,9317.8547342
2020-05-01,6568.03285991
2020-05-02,4797.30686712
2020-05-03,5430.58458986
2020-05-04,7170.38168832
2020-05-05,6054.71173078
2020-05-06,7270.73570182
2020-05-07,8594.29701356
2020-05-08,9619.99610998
2020-05-09,4665.20530908
2020-05-10,5629.1289461
2020-05-11,7865.70827454
2020-05-12,7050.30440156
2020-05-13,6913.50884436
2020-05-14,6729.38005704
2020-05-15,6072.18869328
2020-05-16,3957.79832788
2020-05-17,4972.0344793
2020-05-18,7781.65807044
2020-05-19,7253.83571164
2020-05-20,6002.57030932
2020-05-21,5603.32792649
2020-05-22,4448.36289867
2020-05-23,3469.82371185
2020-05-24,3504.86983248
2020-05-25,3706.29380982
2020-05-26,4324.33250025
2020-05-27,6480.61357849
2020-05-28,7450.82920398
2020-05-29,7236.5742277
2020-05-30,5835.25997295
2020-05-31,4955.17168164
2020-06-01,7174.42593112
2020-06-02,9512.66310204
2020-06-03,6382.84107622
2020-06-04,5921.34394016
2020-06-05,5546.47763762
2020-06-06,1227.81891411
2020-06-07,1183.34069314
2020-06-08,3650.90389967
2020-06-09,6596.71786218
2020-06-10,7706.66232796
2020-06-11,8926.49901207
2020-06-12,6958.00380861
2020-06-13,4167.67504017
2020-06-14,4647.39613005
2020-06-15,7042.89663372
2020-06-16,8071.03874988
2020-06-17,7736.04502533
2020-06-18,7648.35327984
2020-06-19,7891.39808513
2020-06-20,5117.64920116
2020-06-21,5099.43791913
2020-06-22,8819.6844146
2020-06-23,8922.37124591
2020-06-24,7952.3507028
2020-06-25,6984.42969197
2020-06-26,6684.84663022
2020-06-27,4788.79878423
2020-06-28,5124.63960102
2020-06-29,7286.0982887
2020-06-30,6699.56079469
2020-07-01,6820.84306471
2020-07-02,8470.61842508
2020-07-03,7383.79383302
2020-07-04,5360.07709788
2020-07-05,4420.91272767
2020-07-06,8213.20832488
2020-07-07,7539.75979493
2020-07-08,8328.69506924
2020-07-09,7337.42480087
2020-07-10,6939.03926007
2020-07-11,4780.05430354
2020-07-12,4587.79319409
2020-07-13,6926.46469538
2020-07-14,7136.90805098
2020-07-15,6429.20616335
2020-07-16,7547.3553332
2020-07-17,6844.00171851
2020-07-18,5087.64919426
2020-07-19,4789.07124012
2020-07-20,9405.79281162
2020-07-21,8300.35715235
2020-07-22,8840.66037968
2020-07-23,10009.8796269
2020-07-24,7523.98409383
2020-07-25,5840.33492278
2020-07-26,5902.73162423
2020-07-27,11748.14140405
2020-07-28,9255.52831026
2020-07-29,8168.35748026
2020-07-30,9459.92293179
2020-07-31,8597.3465032
2020-08-01,6348.93005322
2020-08-02,6695.87215002
2020-08-03,7104.00376977
2020-08-04,8695.41169695
2020-08-05,7107.51189552
2020-08-06,7707.96684013
2020-08-07,5538.65909418
2020-08-08,4354.07277416
2020-08-09,4255.42073146
2020-08-10,7419.32833264
2020-08-11,8040.07627392
2020-08-12,6588.49330937
2020-08-13,9463.30779528
2020-08-14,8549.92869781
2020-08-15,6379.21968984
2020-08-16,5191.1445537
2020-08-17,9530.04881954
2020-08-18,7277.93636746
2020-08-19,7559.59835972
2020-08-20,7343.46742264
2020-08-21,9011.77762115
2020-08-22,6472.55811482
2020-08-23,5401.44150007
2020-08-24,9229.95446579
2020-08-25,9748.62250629
2020-08-26,8744.67351955
2020-08-27,8002.08288185
2020-08-28,9784.89321163
2020-08-29,7060.68388468
2020-08-30,6267.3999695
2020-08-31,9063.833746
2020-09-01,9797.54628547
2020-09-02,13073.48026559
2020-09-03,14811.0290965
2020-09-04,15830.14894998
2020-09-05,12475.61530785
2020-09-06,8687.47143655
2020-09-07,9552.82037538
2020-09-08,12503.28333307
2020-09-09,11108.44337253
2020-09-10,10968.85916835
2020-09-11,10165.56421856
2020-09-12,8203.00037161
2020-09-13,7778.74071155
2020-09-14,11226.23950618
2020-09-15,10609.53824973
2020-09-16,10615.51059531
2020-09-17,10788.26448106
2020-09-18,9851.2189148
2020-09-19,7228.55843271
2020-09-20,6762.57994057
2020-09-21,9391.56154623
2020-09-22,10486.50174502
2020-09-23,8820.76410085
2020-09-24,9288.8043366
2020-09-25,10170.5701393
2020-09-26,7282.3875985
2020-09-27,8022.61893875
2020-09-28,10770.09483275
2020-09-29,9926.79232634
2020-09-30,9338.49149166
