date,Exchange Inflow (Total)
2020-02-11,238146722.629505
2020-02-12,268384028.256516
2020-02-13,280083384.23577
2020-02-14,205908079.319883
2020-02-15,186546293.391304
2020-02-16,153853243.497197
2020-02-17,244567582.39679
2020-02-18,211448982.212795
2020-02-19,230126296.927238
2020-02-20,543795957.339667
2020-02-21,181972631.268144
2020-02-22,79044437.030902
2020-02-23,144432058.074046
2020-02-24,200845891.973721
2020-02-25,186957362.306183
2020-02-26,255229977.115854
2020-02-27,233327243.654556
2020-02-28,204547482.081971
2020-02-29,126826589.4007
2020-03-01,109179405.427315
2020-03-02,246633758.975512
2020-03-03,227128972.113969
2020-03-04,207136640.061992
2020-03-05,415947400.804836
2020-03-06,209053751.64992
2020-03-07,128596467.980796
2020-03-08,217204123.036718
2020-03-09,367713008.136802
2020-03-10,267115865.919845
2020-03-11,283686289.561327
2020-03-12,412951943.365178
2020-03-13,729857656.844205
2020-03-14,241471021.701739
2020-03-15,194841675.172669
2020-03-16,466965589.289882
2020-03-17,401922092.752309
2020-03-18,322003946.865482
2020-03-19,368967363.874163
2020-03-20,325257457.315603
2020-03-21,136018262.245483
2020-03-22,150658876.478507
2020-03-23,259778676.091188
2020-03-24,324016857.232109
2020-03-25,311307715.419192
2020-03-26,242086289.035557
2020-03-27,216885040.163296
2020-03-28,233591731.15437
2020-03-29,113259275.476371
2020-03-30,286812977.644563
2020-03-31,202909029.501839
2020-04-01,280977624.09206
2020-04-02,292194644.720244
2020-04-03,217391563.551137
2020-04-04,103135618.283659
2020-04-05,79322519.366616
2020-04-06,231995454.469681
2020-04-07,247591850.510541
2020-04-08,186362857.389178
2020-04-09,178184412.163832
2020-04-10,212278333.288313
2020-04-11,138147978.522362
2020-04-12,159450985.302437
2020-04-13,255144128.599033
2020-04-14,311931542.187151
2020-04-15,250519202.481739
2020-04-16,322700759.973671
2020-04-17,246394322.174596
2020-04-18,136975223.681499
2020-04-19,110812775.265507
2020-04-20,254330619.550336
2020-04-21,330242115.310961
2020-04-22,282522944.746942
2020-04-23,294490513.122083
2020-04-24,232583316.476646
2020-04-25,138083507.516478
2020-04-26,138007454.647557
2020-04-27,232613387.28034
2020-04-28,267852381.308679
2020-04-29,441759299.723281
2020-04-30,300083813.082914
2020-05-01,180780337.15316
2020-05-02,127051616.892389
2020-05-03,153612644.65638
2020-05-04,238318584.504642
2020-05-05,242299986.580157
2020-05-06,323884793.31985
2020-05-07,354666413.032732
2020-05-08,376975568.28596
2020-05-09,204576887.277136
2020-05-10,310847718.202668
2020-05-11,346045735.961262
2020-05-12,295367006.678366
2020-05-13,256829880.479511
2020-05-14,267636938.696446
