date,Active Sending Addresses
2024-03-23,313199
2024-03-24,318134
2024-03-25,320544
2024-03-26,285909
2024-03-27,275448
2024-03-28,290043
2024-03-29,321296
2024-03-30,301251
2024-03-31,314891
2024-04-01,298555
2024-04-02,250195
2024-04-03,247998
2024-04-04,268782
2024-04-05,288115
2024-04-06,306621
2024-04-07,291742
2024-04-08,279108
2024-04-09,298487
2024-04-10,261987
2024-04-11,272279
2024-04-12,324848
2024-04-13,243356
2024-04-14,252857
2024-04-15,259771
2024-04-16,270960
2024-04-17,334915
2024-04-18,302765
2024-04-19,278952
2024-04-20,289430
2024-04-21,271567
2024-04-22,262314
2024-04-23,248624
2024-04-24,241032
2024-04-25,266911
2024-04-26,282984
2024-04-27,272578
2024-04-28,257020
2024-04-29,249743
2024-04-30,251219
2024-05-01,237115
2024-05-02,257664
2024-05-03,241084
2024-05-04,244601
2024-05-05,235916
2024-05-06,263046
2024-05-07,261562
2024-05-08,258117
2024-05-09,253987
2024-05-10,247756
2024-05-11,227505
2024-05-12,246218
2024-05-13,240671
2024-05-14,239018
2024-05-15,241595
2024-05-16,243162
2024-05-17,242069
2024-05-18,289465
2024-05-19,246941
2024-05-20,247099
2024-05-21,258467
2024-05-22,266937
2024-05-23,258886
2024-05-24,257821
2024-05-25,289731
2024-05-26,269581
2024-05-27,263441
2024-05-28,222049
2024-05-29,246674
2024-05-30,228945
2024-05-31,238967
2024-06-01,217752
2024-06-02,210571
2024-06-03,220325
2024-06-04,237738
2024-06-05,225957
2024-06-06,226112
2024-06-07,235384
2024-06-08,234103
2024-06-09,239893
2024-06-10,231993
2024-06-11,229281
2024-06-12,229643
2024-06-13,231560
2024-06-14,230158
2024-06-15,243186
2024-06-16,251815
2024-06-17,252416
2024-06-18,234294
2024-06-19,247947
2024-06-20,243654
2024-06-21,370852
2024-06-22,457829
2024-06-23,275017
2024-06-24,240264
2024-06-25,285444
2024-06-26,332443
2024-06-27,278306
2024-06-28,277116
2024-06-29,339440
2024-06-30,287425
2024-07-01,253344
2024-07-02,245566
2024-07-03,231381
2024-07-04,243832
2024-07-05,247703
2024-07-06,288418
2024-07-07,229388
2024-07-08,264337
2024-07-09,276954
2024-07-10,268849
2024-07-11,274305
2024-07-12,308318
2024-07-13,301398
2024-07-14,261957
2024-07-15,260847
2024-07-16,239162
2024-07-17,214200
2024-07-18,210655
2024-07-19,228106
2024-07-20,231123
2024-07-21,232342
2024-07-22,229653
2024-07-23,250160
2024-07-24,234581
2024-07-25,221330
2024-07-26,240087
2024-07-27,220085
2024-07-28,263830
2024-07-29,219987
2024-07-30,207902
2024-07-31,221701
2024-08-01,200956
2024-08-02,195255
2024-08-03,275999
2024-08-04,241475
2024-08-05,183517
2024-08-06,228044
2024-08-07,240840
2024-08-08,202232
2024-08-09,231271
2024-08-10,282595
2024-08-11,223594
2024-08-12,182818
2024-08-13,212866
2024-08-14,397856
2024-08-15,361571
2024-08-16,260346
2024-08-17,256140
2024-08-18,253324
2024-08-19,201578
2024-08-20,201341
2024-08-21,221385
2024-08-22,228007
2024-08-23,230757
