Datetime,0d ~ 1d,1d ~ 1w,1w ~ 1m,1m ~ 3m,3m ~ 6m,6m ~ 12m,12m ~ 18m,18m ~ 2y,2y ~ 3y,3y ~ 5y,5y ~ 7y,7y ~ 10y,10y ~
2015-04-18T00:00:00Z,22852378.5795327,93378405.172691,174686863.4728266,406109070.5868362,494626273.1375873,903599128.1601917,1843199722.0174997,113413842.4376246,66217316.9399155,7634166.9507174,360.7189705,0,0
2015-04-17T00:00:00Z,36701569.0554756,83954287.8652782,173737403.1132388,404125978.773658,494629399.4054955,905206422.1522464,1841114490.1015842,114104327.2739534,64615508.6242784,7628753.440901,358.9234205,0,0
2015-04-16T00:00:00Z,33508960.2055511,96418128.509806,171050143.0382459,399183437.3816575,494548328.6260365,910816871.6088152,1837192210.1508677,114659841.1362962,62726192.0493071,7618388.7849037,356.4455615,0,0
2015-04-15T00:00:00Z,41753633.6431639,90049695.5477083,175027105.6649599,395266508.2950208,493558256.7032549,924961623.8370472,1824186974.5614574,113796297.3957322,62248147.0650851,7610260.6953532,354.6500115,0,0
2015-04-14T00:00:00Z,37424394.0098944,89883971.1838994,175440495.5859879,402612320.7216747,487926346.8383841,925595806.9113249,1839540722.7220826,114157433.1949715,61430643.8436132,7621048.5125016,352.3844942,0,0
2015-04-13T00:00:00Z,42589481.9990908,88304672.1994553,172405222.7958258,409402232.1372328,483564826.3503011,928460239.753645,1838232918.177845,114037310.3053556,60415658.7895751,7619638.1914856,350.3302414,0,0
2015-04-12T00:00:00Z,24852955.9557769,102583711.290349,177782879.1680824,412707421.879825,482001734.9493631,929913887.6498936,1837957535.0421376,114358697.5965455,59458716.6589923,7620417.8957959,348.2833144,0,0
2015-04-11T00:00:00Z,29349638.5984311,96334997.8627595,180115536.7840238,414703347.2253184,480515742.6528176,928707188.3342004,1839641022.9358976,115015885.6088275,58422055.3118901,7616541.7263661,346.6673194,0,0
2015-04-10T00:00:00Z,48260708.262157,74583942.94886,235725470.8255259,363908691.2120054,481431938.3590889,927845284.0137666,1838145389.1196516,116521267.0102164,56698297.6736103,7605509.8084408,344.6563465,0,0
2015-04-09T00:00:00Z,38090388.6259329,72618174.8915115,249870012.6495995,358263166.3065712,495195239.1721914,929551837.406143,1836147458.171814,120430327.2256608,52707029.3767455,7603547.7646433,340.4403951,0,0
2015-04-08T00:00:00Z,42007639.9585936,75149079.4755651,257805322.2199887,342690688.2648268,498035987.7188092,932848662.8522875,1834851469.696316,139486114.4116166,33117629.248782,7596845.4447818,338.8242062,0,0
2015-04-07T00:00:00Z,38839707.3901729,89137131.517247,271905053.0372991,364678768.3786287,457018510.2830321,929097678.5375358,1833920284.3499207,140883844.2797682,31351097.1769498,7591021.4837304,337.4580728,0,0
2015-04-06T00:00:00Z,33963769.7138166,96372753.8613698,304143027.7348685,334866736.9142901,455687824.8815887,926873198.7944582,1833251055.33865,141435463.4394296,30228549.0326297,7583285.7632079,335.9138998,0,0
2015-04-05T00:00:00Z,22396396.0428196,113083225.9826796,301262554.9287091,336317395.0344764,457196377.8720382,923761053.676124,1830839146.2488935,143459009.6190692,27966959.0245513,7572567.9063129,330.6327563,0,0
2015-04-04T00:00:00Z,21370327.1606636,112754120.3141465,309724574.8730661,330823377.5943984,458970872.5576753,922077324.0519296,1829187940.8975627,143573124.9672228,26968431.5428812,7566401.2146549,327.2834307,0,0
