date,Transaction Count (Mean)
2023-10-05,133.65906866
2023-10-06,138.9572028
2023-10-07,139.31614256
2023-10-08,129.30521751
2023-10-09,139.11775413
2023-10-10,140.69230769
2023-10-11,140.97098809
2023-10-12,140.54717245
2023-10-13,141.11669936
2023-10-14,125.63996085
2023-10-15,128.77145653
2023-10-16,143.44180854
2023-10-17,140.19426573
2023-10-18,141.49265015
2023-10-19,139.62935497
2023-10-20,152.02920626
2023-10-21,138.1558696
2023-10-22,137.26511758
2023-10-23,148.93908416
2023-10-24,153.76214476
2023-10-25,151.69889154
2023-10-26,152.71772276
2023-10-27,144.56462205
2023-10-28,138.74247726
2023-10-29,150.05685478
2023-10-30,153.34262502
2023-10-31,152.71282411
2023-11-01,154.01761991
2023-11-02,146.59108119
2023-11-03,154.73791848
2023-11-04,142.09978977
2023-11-05,145.00406504
2023-11-06,154.29201681
2023-11-07,147.68881119
2023-11-08,149.06668531
2023-11-09,157.34848273
2023-11-10,160.23920034
2023-11-11,155.07279854
2023-11-12,148.58538634
2023-11-13,152.16414989
2023-11-14,146.64804469
2023-11-15,150.44571908
2023-11-16,152.76100629
2023-11-17,151.72457686
2023-11-18,159.49030082
2023-11-19,137.75878975
2023-11-20,161.17881629
2023-11-21,158.12613748
2023-11-22,159.89960795
2023-11-23,157.22029391
2023-11-24,149.76310625
2023-11-25,137.94429671
2023-11-26,138.69838823
2023-11-27,150.96889013
2023-11-28,161.65374388
2023-11-29,161.09440559
2023-11-30,156.71336599
2023-12-01,156.51796951
2023-12-02,169.08411346
2023-12-03,144.59873773
2023-12-04,162.04615385
2023-12-05,167.67030812
2023-12-06,158.21788572
2023-12-07,162.69482251
2023-12-08,165.75063078
2023-12-09,157.0504555
2023-12-10,157.93761365
2023-12-11,152.20570949
2023-12-12,150.66708648
2023-12-13,151.5362197
2023-12-14,162.35634119
2023-12-15,162.91309223
2023-12-16,148.70019696
2023-12-17,151.89300758
2023-12-18,159.46889013
2023-12-19,162.09418049
2023-12-20,175.17299044
2023-12-21,173.85260358
2023-12-22,169.08035339
2023-12-23,157.41953136
2023-12-24,160.2826423
2023-12-25,155.17787785
2023-12-26,156.32133856
2023-12-27,160.05697805
2023-12-28,166.31705948
2023-12-29,156.07434996
2023-12-30,153.47397299
2023-12-31,148.7958526
2024-01-01,154.98311524
2024-01-02,158.4747262
2024-01-03,153.20802357
2024-01-04,156.64604377
2024-01-05,150.59887324
2024-01-06,140.96727118
2024-01-07,148.21841028
2024-01-08,151.43673297
2024-01-09,151.37252701
2024-01-10,174.66470588
2024-01-11,169.69492001
2024-01-12,169.21328671
2024-01-13,169.46763596
2024-01-14,273.97932383
2024-01-15,161.21413605
2024-01-16,177.19480882
2024-01-17,165.34075318
2024-01-18,168.3777436
2024-01-19,163.88859416
2024-01-20,148.25565169
2024-01-21,158.26611991
2024-01-22,151.95595709
2024-01-23,152.22790502
2024-01-24,151.25738692
2024-01-25,164.42434856
2024-01-26,164.17210475
2024-01-27,161.06314903
2024-01-28,158.04286915
2024-01-29,156.32758862
2024-01-30,166.48203049
2024-01-31,159.57651845
2024-02-01,158.17847622
2024-02-02,155.5765829
2024-02-03,148.18097513
2024-02-04,147.60919702
2024-02-05,157.27039169
2024-02-06,151.69768421
2024-02-07,160.26612451
2024-02-08,147.77640449
2024-02-09,150.72497897
2024-02-10,141.94608256
2024-02-11,144.28019663
2024-02-12,137.95150666
2024-02-13,154.67340067
2024-02-14,158.78437983
2024-02-15,161.8368864
2024-02-16,165.35862553
2024-02-17,151.6253339
2024-02-18,154.04058625
2024-02-19,161.3021522
2024-02-20,161.07537125
2024-02-21,154.61008852
2024-02-22,151.97501754
2024-02-23,162.46330532
2024-02-24,153.79681609
2024-02-25,154.24041422
2024-02-26,166.31092437
2024-02-27,170.5827972
2024-02-28,171.72848146
2024-02-29,173.12489499
2024-03-01,168.23168179
2024-03-02,169.30959709
2024-03-03,165.19972067
2024-03-04,176.81038091
2024-03-05,181.98269123
2024-03-06,170.17897529
2024-03-07,171.62234637
2024-03-08,171.02906321
2024-03-09,162.03701117
2024-03-10,161.8344519
2024-03-11,174.19938479
2024-03-12,172.33594296
2024-03-13,179.46058733
2024-03-14,183.50641839
2024-03-15,184.20637372
2024-03-16,179.57364123
2024-03-17,169.27020948
2024-03-18,180.14719528
2024-03-19,193.52114061
2024-03-20,192.38548976
2024-03-21,187.07110736
2024-03-22,185.57947855
2024-03-23,182.24845506
2024-03-24,173.2242083
2024-03-25,180.42172073
2024-03-26,185.30111315
2024-03-27,183.82791504
2024-03-28,183.13574274
2024-03-29,183.17340635
2024-03-30,174.37121958
2024-03-31,175.24753729
2024-04-01,174.95997191
2024-04-02,174.0245683
2024-04-03,169.43084883
2024-04-04,172.78463476
2024-04-05,173.92523103
2024-04-06,168.20971581
2024-04-07,165.24102132
2024-04-08,171.18516961
2024-04-09,171.71674601
2024-04-10,168.91917214
2024-04-11,169.95826915
2024-04-12,185.08357833
2024-04-13,163.39977509
2024-04-14,158.82590412
2024-04-15,166.4200056
2024-04-16,165.23429613
2024-04-17,174.13948288
2024-04-18,172.7466443
2024-04-19,165.66213565
2024-04-20,161.21695342
2024-04-21,158.34986034
2024-04-22,164.79062937
2024-04-23,167.62613557
2024-04-24,164.13535099
2024-04-25,165.78720134
2024-04-26,165.04289319
2024-04-27,154.45893382
2024-04-28,159.61653609
2024-04-29,171.2834965
2024-04-30,176.34669647
2024-05-01,168.38208205
2024-05-02,171.29003359
2024-05-03,167.00796868
2024-05-04,162.50845326
2024-05-05,160.24486086
2024-05-06,166.53588918
2024-05-07,172.39448643
2024-05-08,162.19686582
2024-05-09,157.5292226
2024-05-10,161.4057039
2024-05-11,155.67305004
2024-05-12,147.63309554
2024-05-13,162.56072676
2024-05-14,166.10773985
2024-05-15,167.0015346
2024-05-16,170.31386249
2024-05-17,155.71588523
2024-05-18,151.45647915
2024-05-19,142.90506152
2024-05-20,157.32414276
2024-05-21,167.53263452
2024-05-22,166.43405209
2024-05-23,161.56266592
2024-05-24,162.62936574
2024-05-25,161.754928
2024-05-26,159.08002793
2024-05-27,162.09337434
2024-05-28,154.43831214
2024-05-29,164.11572908
2024-05-30,160.9213546
2024-05-31,164.23026408
2024-06-01,156.24825565
2024-06-02,150.39435833
2024-06-03,161.09362772
2024-06-04,162.41874738
2024-06-05,164.40806362
2024-06-06,161.34134414
2024-06-07,165.34934376
2024-06-08,161.40494137
2024-06-09,159.6421185
2024-06-10,164.87398715
2024-06-11,164.34892488
2024-06-12,171.07434321
2024-06-13,172.31597368
2024-06-14,165.326864
2024-06-15,159.32716828
2024-06-16,156.79073014
2024-06-17,159.88503497
2024-06-18,160.76712905
2024-06-19,157.7493005
2024-06-20,160.89577504
2024-06-21,176.54680078
2024-06-22,184.24629163
2024-06-23,153.26675059
2024-06-24,162.06558523
2024-06-25,166.68975147
2024-06-26,174.30512498
2024-06-27,163.85550747
2024-06-28,164.15119363
2024-06-29,159.64398491
2024-06-30,156.70722858
2024-07-01,161.2998325
2024-07-02,158.8500909
2024-07-03,160.80985621
2024-07-04,173.47239693
2024-07-05,172.63926877
2024-07-06,158.79291097
2024-07-07,143.6400838
2024-07-08,159.25279955
2024-07-09,160.95206819
2024-07-10,164.05749372
2024-07-11,166.25742989
2024-07-12,165.81345993
2024-07-13,160.03229866
2024-07-14,151.13898967
2024-07-15,161.46599637
2024-07-16,167.15948697
2024-07-17,165.65992468
2024-07-18,165.15779919
2024-07-19,159.4560792
2024-07-20,154.45316208
2024-07-21,154.89910689
2024-07-22,160.83028356
2024-07-23,161.0060014
2024-07-24,158.40499791
2024-07-25,157.11812343
2024-07-26,159.0353352
2024-07-27,149.96997626
2024-07-28,145.17516722
2024-07-29,152.50097602
2024-07-30,163.47177476
2024-07-31,162.79173646
2024-08-01,157.14347523
2024-08-02,151.95766383
2024-08-03,151.81772505
2024-08-04,145.33198663
2024-08-05,158.06444413
2024-08-06,157.79843663
2024-08-07,156.62738809
2024-08-08,152.90118467
2024-08-09,153.53696987
2024-08-10,146.66150628
2024-08-11,137.60958234
2024-08-12,147.98716339
2024-08-13,151.92898005
2024-08-14,178.53476682
2024-08-15,175.08807493
2024-08-16,155.19818562
2024-08-17,140.22330911
2024-08-18,143.45288542
2024-08-19,145.70420567
2024-08-20,149.58963253
2024-08-21,151.44467728
2024-08-22,152.70093588
2024-08-23,157.30364882
2024-08-24,152.19622378
2024-08-25,136.04640112
2024-08-26,155.69633874
2024-08-27,158.10146546
2024-08-28,160.53554966
2024-08-29,161.38313051
2024-08-30,158.43118625
2024-08-31,141.4115347
2024-09-01,141.15187046
2024-09-02,151.51799163
2024-09-03,157.47294282
2024-09-04,154.76245639
2024-09-05,156.40122768
2024-09-06,157.01466276
2024-09-07,155.41551748
2024-09-08,151.62452857
