date,timestamp_utc,Tokens Transferred by External Contract Calls USD (Median)
2025-07-29,2025-07-29T00:00:00Z,37.9330241767
2025-07-30,2025-07-30T00:00:00Z,40.85367451413528
2025-07-31,2025-07-31T00:00:00Z,42.94397581999667
2025-08-01,2025-08-01T00:00:00Z,22.511159037618537
2025-08-02,2025-08-02T00:00:00Z,35.77693399514467
2025-08-03,2025-08-03T00:00:00Z,45.4317789316905
2025-08-04,2025-08-04T00:00:00Z,50.90710779235496
2025-08-05,2025-08-05T00:00:00Z,36.1156604417
2025-08-06,2025-08-06T00:00:00Z,37.99941158763711
2025-08-07,2025-08-07T00:00:00Z,54.75286105408
2025-08-08,2025-08-08T00:00:00Z,52.14112293156
2025-08-09,2025-08-09T00:00:00Z,60.149737914045865
2025-08-10,2025-08-10T00:00:00Z,42.5159816025
2025-08-11,2025-08-11T00:00:00Z,49.93159303564275
2025-08-12,2025-08-12T00:00:00Z,45.5303122527776
2025-08-13,2025-08-13T00:00:00Z,58.48863872327393
2025-08-14,2025-08-14T00:00:00Z,50.05269119917
2025-08-15,2025-08-15T00:00:00Z,40.98114611482774
2025-08-16,2025-08-16T00:00:00Z,43.806845045007
2025-08-17,2025-08-17T00:00:00Z,44.776737218
2025-08-18,2025-08-18T00:00:00Z,38.83523724477
2025-08-19,2025-08-19T00:00:00Z,28.37318939402416
2025-08-20,2025-08-20T00:00:00Z,46.88705890698438
2025-08-21,2025-08-21T00:00:00Z,47.981505220223
2025-08-22,2025-08-22T00:00:00Z,56.37329052512042
2025-08-23,2025-08-23T00:00:00Z,26.5089445805652
2025-08-24,2025-08-24T00:00:00Z,28.7098915632
2025-08-25,2025-08-25T00:00:00Z,29.005235121378497
2025-08-26,2025-08-26T00:00:00Z,21.78618372639398
2025-08-27,2025-08-27T00:00:00Z,24.9655283662574
2025-08-28,2025-08-28T00:00:00Z,31.58019564469
2025-08-29,2025-08-29T00:00:00Z,28.83075227028501
2025-08-30,2025-08-30T00:00:00Z,21.870533861
2025-08-31,2025-08-31T00:00:00Z,34.1308672555928
2025-09-01,2025-09-01T00:00:00Z,46.6434833266792
2025-09-02,2025-09-02T00:00:00Z,33.77101910332296
2025-09-03,2025-09-03T00:00:00Z,49.4192861972818
2025-09-04,2025-09-04T00:00:00Z,47.27844360228
2025-09-05,2025-09-05T00:00:00Z,43.0750777481
2025-09-06,2025-09-06T00:00:00Z,22.048804125030507
2025-09-07,2025-09-07T00:00:00Z,43.11337263211778
2025-09-08,2025-09-08T00:00:00Z,43.0596051175
2025-09-09,2025-09-09T00:00:00Z,48.35177103119685
2025-09-10,2025-09-10T00:00:00Z,34.800717372
2025-09-11,2025-09-11T00:00:00Z,32.970746248417214
2025-09-12,2025-09-12T00:00:00Z,47.1486839947
2025-09-13,2025-09-13T00:00:00Z,47.49305658674737
2025-09-14,2025-09-14T00:00:00Z,43.2726539403508
2025-09-15,2025-09-15T00:00:00Z,44.055600245920985
2025-09-16,2025-09-16T00:00:00Z,18.00944236928
2025-09-17,2025-09-17T00:00:00Z,25.48230130563692
2025-09-18,2025-09-18T00:00:00Z,45.8882258859
2025-09-19,2025-09-19T00:00:00Z,44.036502267023664
2025-09-20,2025-09-20T00:00:00Z,44.8209870006
2025-09-21,2025-09-21T00:00:00Z,26.814434222446778
2025-09-22,2025-09-22T00:00:00Z,15.044548179807649
2025-09-23,2025-09-23T00:00:00Z,4.934374704906925
2025-09-24,2025-09-24T00:00:00Z,7.282114781339753
2025-09-25,2025-09-25T00:00:00Z,7.75092099742
2025-09-26,2025-09-26T00:00:00Z,4.563024442958509
2025-09-27,2025-09-27T00:00:00Z,24.911572244621343
2025-09-28,2025-09-28T00:00:00Z,23.34269457002381
2025-09-29,2025-09-29T00:00:00Z,42.1662385115
2025-09-30,2025-09-30T00:00:00Z,30.664939946025388
2025-10-01,2025-10-01T00:00:00Z,25.4888890100666
2025-10-02,2025-10-02T00:00:00Z,20.661457314040376
2025-10-03,2025-10-03T00:00:00Z,19.416589710173
2025-10-04,2025-10-04T00:00:00Z,22.13327631578433
2025-10-05,2025-10-05T00:00:00Z,18.05984829212
2025-10-06,2025-10-06T00:00:00Z,46.8568095946
2025-10-07,2025-10-07T00:00:00Z,25.80700383745
2025-10-08,2025-10-08T00:00:00Z,23.54306560717362
2025-10-09,2025-10-09T00:00:00Z,21.84884984855
2025-10-10,2025-10-10T00:00:00Z,15.967684495113854
2025-10-11,2025-10-11T00:00:00Z,13.12740532866
2025-10-12,2025-10-12T00:00:00Z,7.2733001899425
2025-10-13,2025-10-13T00:00:00Z,16.97948902708
2025-10-14,2025-10-14T00:00:00Z,16.302902771035697
2025-10-15,2025-10-15T00:00:00Z,15.965973877
2025-10-16,2025-10-16T00:00:00Z,15.57965340276
2025-10-17,2025-10-17T00:00:00Z,19.1887461211
2025-10-18,2025-10-18T00:00:00Z,18.092540484795283
2025-10-19,2025-10-19T00:00:00Z,10.175168589026784
2025-10-20,2025-10-20T00:00:00Z,9.6723003822138
2025-10-21,2025-10-21T00:00:00Z,8.946628954473535
2025-10-22,2025-10-22T00:00:00Z,10.277324052417
2025-10-23,2025-10-23T00:00:00Z,13.40426770853787
2025-10-24,2025-10-24T00:00:00Z,13.931445804787693
2025-10-25,2025-10-25T00:00:00Z,26.25950942172076
2025-10-26,2025-10-26T00:00:00Z,14.75290001353457
2025-10-27,2025-10-27T00:00:00Z,16.48018200356
2025-10-28,2025-10-28T00:00:00Z,12.172195465649608
2025-10-29,2025-10-29T00:00:00Z,12.094617118877943
2025-10-30,2025-10-30T00:00:00Z,11.41236774327
2025-10-31,2025-10-31T00:00:00Z,11.205187604018857
2025-11-01,2025-11-01T00:00:00Z,10.778094687781616
2025-11-02,2025-11-02T00:00:00Z,1.50767115989698
2025-11-03,2025-11-03T00:00:00Z,7.838597940229582
2025-11-04,2025-11-04T00:00:00Z,9.437083496049777
2025-11-05,2025-11-05T00:00:00Z,6.84771120742
2025-11-06,2025-11-06T00:00:00Z,3.3144922375
2025-11-07,2025-11-07T00:00:00Z,3.627565755458431
2025-11-08,2025-11-08T00:00:00Z,1.020091395381
2025-11-09,2025-11-09T00:00:00Z,1.07476141038
2025-11-10,2025-11-10T00:00:00Z,1.18693259108648
2025-11-11,2025-11-11T00:00:00Z,1.024857582345
2025-11-12,2025-11-12T00:00:00Z,1.024240199859
2025-11-13,2025-11-13T00:00:00Z,1.4883037793027414
2025-11-14,2025-11-14T00:00:00Z,1.1509033241649134
2025-11-15,2025-11-15T00:00:00Z,1.1397216624264
2025-11-16,2025-11-16T00:00:00Z,0.927685213608
2025-11-17,2025-11-17T00:00:00Z,2.48689044003318
2025-11-18,2025-11-18T00:00:00Z,2.185531776008
2025-11-19,2025-11-19T00:00:00Z,4.231269067284
2025-11-20,2025-11-20T00:00:00Z,6.489715720432215
2025-11-21,2025-11-21T00:00:00Z,1.9724199516596483
2025-11-22,2025-11-22T00:00:00Z,0.6262836963774443
2025-11-23,2025-11-23T00:00:00Z,1.065730417685
2025-11-24,2025-11-24T00:00:00Z,2.95627984538
2025-11-25,2025-11-25T00:00:00Z,2.9580602962
2025-11-26,2025-11-26T00:00:00Z,3.02603028162
2025-11-27,2025-11-27T00:00:00Z,2.036912619896231
2025-11-28,2025-11-28T00:00:00Z,3.437684662299466
2025-11-29,2025-11-29T00:00:00Z,4.928338818979371
2025-11-30,2025-11-30T00:00:00Z,2.8711134661780453
2025-12-01,2025-12-01T00:00:00Z,1.409413909873822
2025-12-02,2025-12-02T00:00:00Z,1.8043448401029427
2025-12-03,2025-12-03T00:00:00Z,1.0509729126880547
2025-12-04,2025-12-04T00:00:00Z,1.8902263365466103
2025-12-05,2025-12-05T00:00:00Z,0.999482858635913
2025-12-06,2025-12-06T00:00:00Z,2.431100057048
2025-12-07,2025-12-07T00:00:00Z,5.080940123648205
2025-12-08,2025-12-08T00:00:00Z,7.140436275144009
2025-12-09,2025-12-09T00:00:00Z,14.65817177617522
2025-12-10,2025-12-10T00:00:00Z,9.97385443968
2025-12-11,2025-12-11T00:00:00Z,3.5965068799555584
2025-12-12,2025-12-12T00:00:00Z,2.3377051046897868
2025-12-13,2025-12-13T00:00:00Z,3.523950789613508
2025-12-14,2025-12-14T00:00:00Z,1.531688058725
2025-12-15,2025-12-15T00:00:00Z,0.9145081208553082
2025-12-16,2025-12-16T00:00:00Z,1.48092582407
2025-12-17,2025-12-17T00:00:00Z,2.2346420890280894
2025-12-18,2025-12-18T00:00:00Z,1.1283258942375052
2025-12-19,2025-12-19T00:00:00Z,3.028403369532201
2025-12-20,2025-12-20T00:00:00Z,9.974459972390688
2025-12-21,2025-12-21T00:00:00Z,3.601527246144
2025-12-22,2025-12-22T00:00:00Z,4.946232400348791
2025-12-23,2025-12-23T00:00:00Z,7.714589939836368
2025-12-24,2025-12-24T00:00:00Z,14.838760423507734
2025-12-25,2025-12-25T00:00:00Z,16.615626865332214
2025-12-26,2025-12-26T00:00:00Z,21.958483728891725
2025-12-27,2025-12-27T00:00:00Z,29.4667449251
2025-12-28,2025-12-28T00:00:00Z,29.4874260127
2025-12-29,2025-12-29T00:00:00Z,20.268362221119347
2025-12-30,2025-12-30T00:00:00Z,13.391590966523497
2025-12-31,2025-12-31T00:00:00Z,5.110451018900204
2026-01-01,2026-01-01T00:00:00Z,7.2300058552396
