date,Phase 0 Success Rate (%)
2023-11-04,6144.82
2023-11-05,6154.38
2023-11-06,6172.65
2023-11-07,6186.15
2023-11-08,6208.17
2023-11-09,6223.31
2023-11-10,6233.81
2023-11-11,6238.41
2023-11-12,6255.03
2023-11-13,6260.83
2023-11-14,6270.1
2023-11-15,6275.33
2023-11-16,6282.43
2023-11-17,6293.67
2023-11-18,6298.4
2023-11-19,6305.69
2023-11-20,6313.76
2023-11-21,6322.18
2023-11-22,6346.18
2023-11-23,6361.01
2023-11-24,6369.21
2023-11-25,6376.93
2023-11-26,6381.25
2023-11-27,6393.01
2023-11-28,6400.6
2023-11-29,6410.54
2023-11-30,6425.24
2023-12-01,6443.14
2023-12-02,6460.64
2023-12-03,6493.36
2023-12-04,6503.47
2023-12-05,6512.26
2023-12-06,6522.13
2023-12-07,6529.82
2023-12-08,6538.06
2023-12-09,6540.95
2023-12-10,6543.93
2023-12-11,6557.08
2023-12-12,6566.81
2023-12-13,6582.39
2023-12-14,6591.16
2023-12-15,6597.34
2023-12-16,6599.78
2023-12-17,6607.8
2023-12-18,6617.65
2023-12-19,6630.3
2023-12-20,6645.51
2023-12-21,6654.04
2023-12-22,6673.61
2023-12-23,6680.72
2023-12-24,6686.55
2023-12-25,6696.61
2023-12-26,6701.04
2023-12-27,6720.8
2023-12-28,6729.85
2023-12-29,6741.8
2023-12-30,6758.38
2023-12-31,6765.8
2024-01-01,6774.83
2024-01-02,6785.53
2024-01-03,6796.95
2024-01-04,6805.23
2024-01-05,6816.6
2024-01-06,6821.35
2024-01-07,6825.66
2024-01-08,6836.14
2024-01-09,6846.77
2024-01-10,6865.41
2024-01-11,6877.57
2024-01-12,6886.97
2024-01-13,6891.96
2024-01-14,6894.96
2024-01-15,6908.19
2024-01-16,6917.03
2024-01-17,6929.01
2024-01-18,6948.79
2024-01-19,6965.48
2024-01-20,6973.34
