date,Exchange Reserve
2025-03-18,20921760.83178388
2025-03-19,20855663.08048848
2025-03-20,20815077.36240113
2025-03-21,20772516.994706176
2025-03-22,20745703.8145662
2025-03-23,20742082.98466983
2025-03-24,20759260.04553323
2025-03-25,20772667.72199421
2025-03-26,20809197.629550207
2025-03-27,20809803.001064625
2025-03-28,20797848.18976841
2025-03-29,20784151.38761899
2025-03-30,20785735.34181408
2025-03-31,20807352.52005869
2025-04-01,20799265.30734509
2025-04-02,20776886.56238806
2025-04-03,20893917.002721667
2025-04-04,20984009.8883133
2025-04-05,21027046.93934204
2025-04-06,21122317.33306376
2025-04-07,21136058.46152863
2025-04-08,21101596.62864773
2025-04-09,21096380.22079768
2025-04-10,21080276.80965412
2025-04-11,21093145.5989153
2025-04-12,21099215.95330218
2025-04-13,21099532.40758846
2025-04-14,21190990.365539704
2025-04-15,21213009.437903967
2025-04-16,21289265.581931792
2025-04-17,21288289.053464483
2025-04-18,21266771.52376013
2025-04-19,21221290.37952151
2025-04-20,21230990.53933168
2025-04-21,21265304.737048395
2025-04-22,21215592.21869073
2025-04-23,21201294.524151888
2025-04-24,21377533.7725466
2025-04-25,21301166.246918496
2025-04-26,21288542.55813802
2025-04-27,21266876.50784153
2025-04-28,21213225.34740523
2025-04-29,21171032.28016844
2025-04-30,21152293.4905305
2025-05-01,21121377.451242488
2025-05-02,21102521.30453039
2025-05-03,21104875.785227902
2025-05-04,21128373.5587768
2025-05-05,21112578.783921383
2025-05-06,21045104.736292616
2025-05-07,21043169.963449743
2025-05-08,21049052.54561164
2025-05-09,20864751.10239067
2025-05-10,20827823.95811473
2025-05-11,20791144.73147082
2025-05-12,20671566.307881333
2025-05-13,20666877.624610007
2025-05-14,20698826.114174742
