date,NVM Ratio
2023-11-28,0.64466255
2023-11-29,0.74900877
2023-11-30,0.66069059
2023-12-01,0.51723272
2023-12-02,0.80551484
2023-12-03,0.5403988
2023-12-04,0.52545142
2023-12-05,0.83501405
2023-12-06,0.83490034
2023-12-07,0.83878588
2023-12-08,0.77707705
2023-12-09,0.66237681
2023-12-10,0.78704526
2023-12-11,0.63239429
2023-12-12,0.67333564
2023-12-13,0.87111516
2023-12-14,0.91044523
2023-12-15,0.55434384
2023-12-16,0.65677822
2023-12-17,0.66332461
2023-12-18,0.53703876
2023-12-19,0.59828026
2023-12-20,0.75634093
2023-12-21,0.7407579
2023-12-22,0.56091618
2023-12-23,0.64663789
2023-12-24,0.63079795
2023-12-25,0.95052484
2023-12-26,0.8124689
2023-12-27,0.91711871
2023-12-28,0.80468998
2023-12-29,0.58723041
2023-12-30,0.73026204
2023-12-31,0.65909074
2024-01-01,0.62751126
2024-01-02,0.71579329
2024-01-03,0.58125361
2024-01-04,0.57073499
2024-01-05,0.88940877
2024-01-06,0.91237865
2024-01-07,1.09861623
2024-01-08,1.06877072
2024-01-09,0.7343072
2024-01-10,0.97574285
2024-01-11,0.71264525
2024-01-12,0.66430372
2024-01-13,0.70314496
2024-01-14,0.94010158
2024-01-15,0.98229919
2024-01-16,0.93322974
2024-01-17,0.97970608
2024-01-18,0.77312508
2024-01-19,0.81185749
2024-01-20,0.71936738
2024-01-21,0.7387019
2024-01-22,0.58309334
2024-01-23,0.83252853
2024-01-24,0.73877664
2024-01-25,0.54449453
2024-01-26,0.70687174
2024-01-27,0.60001153
2024-01-28,0.69491271
2024-01-29,0.65712166
2024-01-30,0.72106229
2024-01-31,0.81449385
2024-02-01,0.73677268
2024-02-02,0.72109794
2024-02-03,0.87247643
2024-02-04,0.9699348
2024-02-05,0.93014267
2024-02-06,0.89404433
2024-02-07,0.85742413
2024-02-08,0.92610012
2024-02-09,0.7755949
2024-02-10,0.7796766
2024-02-11,0.93538145
2024-02-12,0.73012237
2024-02-13,1.09750226
2024-02-14,1.36761912
2024-02-15,1.09803162
2024-02-16,1.08787488
2024-02-17,1.14064566
2024-02-18,1.41235861
2024-02-19,1.08002493
2024-02-20,1.09096698
2024-02-21,1.25152437
2024-02-22,1.07859489
2024-02-23,0.8693785
2024-02-24,1.21557834
2024-02-25,0.86096732
2024-02-26,1.04411902
2024-02-27,1.05512908
2024-02-28,0.918802
2024-02-29,1.01260622
2024-03-01,0.86714687
2024-03-02,1.27690327
2024-03-03,1.2215911
2024-03-04,1.37488278
2024-03-05,0.75387041
2024-03-06,1.12989567
2024-03-07,0.93811653
2024-03-08,1.10563644
2024-03-09,1.21103871
2024-03-10,1.35087038
2024-03-11,0.90797497
2024-03-12,1.07836177
2024-03-13,1.0132144
2024-03-14,1.22320055
2024-03-15,1.36523094
2024-03-16,1.10695063
2024-03-17,1.27515893
2024-03-18,1.28489404
2024-03-19,0.97560295
2024-03-20,1.11465133
2024-03-21,1.55718416
2024-03-22,1.3518716
2024-03-23,1.1545082
2024-03-24,1.16669906
2024-03-25,1.40799746
2024-03-26,1.57388639
2024-03-27,1.51400655
2024-03-28,1.13662648
2024-03-29,1.25035106
2024-03-30,1.15656356
2024-03-31,2.07660508
2024-04-01,1.28763701
2024-04-02,1.19253493
2024-04-03,1.17809187
2024-04-04,1.24918715
2024-04-05,1.15464798
2024-04-06,1.04862059
2024-04-07,1.09532162
2024-04-08,1.2577447
2024-04-09,1.16351604
2024-04-10,1.23455346
2024-04-11,1.47913049
2024-04-12,1.31417977
2024-04-13,1.04957155
2024-04-14,1.24795999
2024-04-15,1.2585696
2024-04-16,1.08283832
2024-04-17,1.59768366
2024-04-18,1.40314641
2024-04-19,1.26244576
2024-04-20,1.7114743
2024-04-21,1.30593819
2024-04-22,1.15735246
2024-04-23,1.12752047
2024-04-24,1.0340331
2024-04-25,1.07989967
2024-04-26,1.24907814
2024-04-27,1.28375186
2024-04-28,1.28316049
2024-04-29,1.41703034
2024-04-30,1.04526439
2024-05-01,1.30262816
2024-05-02,1.29303009
2024-05-03,1.34732535
2024-05-04,1.19620558
2024-05-05,1.32161808
2024-05-06,1.47347198
2024-05-07,1.57109891
2024-05-08,1.55670897
2024-05-09,1.56312851
2024-05-10,1.21829087
2024-05-11,1.22019772
2024-05-12,2.04557785
2024-05-13,1.40464831
2024-05-14,1.84977145
2024-05-15,1.5653412
2024-05-16,1.70410371
2024-05-17,1.59807778
2024-05-18,2.08524433
2024-05-19,1.3718269
2024-05-20,1.55427102
2024-05-21,1.51341842
2024-05-22,1.43069669
2024-05-23,1.19210016
2024-05-24,1.28130897
2024-05-25,1.46058204
2024-05-26,1.55464458
2024-05-27,1.62379273
2024-05-28,1.55711368
2024-05-29,1.39762332
2024-05-30,1.4462336
2024-05-31,1.05427666
2024-06-01,1.31492117
2024-06-02,1.29510934
2024-06-03,1.02967095
2024-06-04,1.34611024
2024-06-05,1.67256441
2024-06-06,1.54712458
2024-06-07,3.01690896
2024-06-08,1.36784214
2024-06-09,1.23529222
2024-06-10,1.34861449
2024-06-11,1.72066464
2024-06-12,1.32461777
2024-06-13,1.29005425
2024-06-14,1.57134255
2024-06-15,1.8412503
2024-06-16,1.21448911
2024-06-17,1.45602615
2024-06-18,1.12966766
