date,NVT Ratio
2025-06-26,29.67127736
2025-06-27,29.91898088
2025-06-28,55.16853117
2025-06-29,59.97563545
2025-06-30,31.43863098
2025-07-01,39.77718561
2025-07-02,42.58186114
2025-07-03,32.73541673
2025-07-04,35.70567005
2025-07-05,72.28547736
2025-07-06,70.57072956
2025-07-07,36.19473437
2025-07-08,42.62060927
2025-07-09,40.86895028
2025-07-10,28.62796977
2025-07-11,19.61802001
2025-07-12,37.26042373
2025-07-13,44.26042882
2025-07-14,18.62483907
2025-07-15,17.42243449
2025-07-16,21.31486839
2025-07-17,18.9599418
2025-07-18,23.2423871
2025-07-19,47.03880324
2025-07-20,48.10209294
2025-07-21,22.04170894
2025-07-22,28.18731935
2025-07-23,32.31859927
2025-07-24,30.35865653
2025-07-25,19.87560927
2025-07-26,42.60314196
2025-07-27,43.51820479
2025-07-28,30.84963526
2025-07-29,33.96573825
2025-07-30,31.57878932
2025-07-31,33.79995605
2025-08-01,25.67328517
2025-08-02,42.21712647
2025-08-03,42.97061513
2025-08-04,29.20594441
